C14X02ESCALATOR	C14	EISENHOWER AVENUE		Escalator between mezzanine and platform to Huntington
A02S01ESCALATOR	A02	FARRAGUT NORTH	 K Street Entrance	Escalator between street and mezzanine
A02S02ESCALATOR	A02	FARRAGUT NORTH	 K Street Entrance	Escalator between street and mezzanine
A02S03ESCALATOR	A02	FARRAGUT NORTH	 K Street Entrance	Escalator between street and mezzanine
A02S04ESCALATOR	A02	FARRAGUT NORTH	 K Street Entrance	Escalator between mezzanine and platform
A02S05ESCALATOR	A02	FARRAGUT NORTH	 K Street Entrance	Escalator between mezzanine and platform
A02E01ESCALATOR	A02	FARRAGUT NORTH	 L Street Entrance, East of Connecticut, north side L Street	Escalator between street and mezzanine
A02E02ESCALATOR	A02	FARRAGUT NORTH	 L Street Entrance, East of Connecticut, north side L Street	Escalator between street and mezzanine
A02E03ESCALATOR	A02	FARRAGUT NORTH	 L Street Entrance, East of Connecticut, north side L Street	Escalator between street and mezzanine
A02E04ESCALATOR	A02	FARRAGUT NORTH	 L Street Entrance, East of Connecticut, north side L Street	Escalator between mezzanine and platform
A02E05ESCALATOR	A02	FARRAGUT NORTH	 L Street Entrance, East of Connecticut, north side L Street	Escalator between mezzanine and platform
A02E06ESCALATOR	A02	FARRAGUT NORTH	 L Street Entrance, East of Connecticut, north side L Street	Escalator between mezzanine and platform
A02W01ESCALATOR	A02	FARRAGUT NORTH	 L Street Entrance, West of Connecticut, south side L Street	Escalator between street and mezzanine
A02W02ESCALATOR	A02	FARRAGUT NORTH	 L Street Entrance, West of Connecticut, south side L Street	Escalator between street and mezzanine
A02W03ESCALATOR	A02	FARRAGUT NORTH	 L Street Entrance, West of Connecticut, south side L Street	Escalator between street and mezzanine
A02W04ESCALATOR	A02	FARRAGUT NORTH	 L Street Entrance, West of Connecticut, south side L Street	Escalator between mezzanine and platform
A02W05ESCALATOR	A02	FARRAGUT NORTH	 L Street Entrance, West of Connecticut, south side L Street	Escalator between mezzanine and platform
C03E01ESCALATOR	C03	FARRAGUT WEST	 17th Street Entrance	Escalator between street and mezzanine
C03E02ESCALATOR	C03	FARRAGUT WEST	 17th Street Entrance	Escalator between street and mezzanine
C03E03ESCALATOR	C03	FARRAGUT WEST	 17th Street Entrance	Escalator between street and mezzanine
C03E04ESCALATOR	C03	FARRAGUT WEST	 17th Street Entrance	Escalator between mezzanine and platform to New Carrollton/Largo Town Center
C03E05ESCALATOR	C03	FARRAGUT WEST	 17th Street Entrance	Escalator between mezzanine and platform to New Carrollton/Largo Town Center
C03E06ESCALATOR	C03	FARRAGUT WEST	 17th Street Entrance	Escalator between mezzanine and platform to Vienna/Franconia-Springfield
C03E07ESCALATOR	C03	FARRAGUT WEST	 17th Street Entrance	Escalator between mezzanine and platform to Vienna/Franconia-Springfield
C03W01ESCALATOR	C03	FARRAGUT WEST	 18th Street Entrance	Escalator between street and mezzanine
C03W02ESCALATOR	C03	FARRAGUT WEST	 18th Street Entrance	Escalator between street and mezzanine
C03W03ESCALATOR	C03	FARRAGUT WEST	 18th Street Entrance	Escalator between street and mezzanine
