Station	Codes	N	1977	1978	1979	1980	1981	1982	1984	1985	1986	1987	1988*	1989*	1990**	1991*	1992	1993*	1994	1995**	1996**	1997**	1998**	1999**	2000**	2001**	2002**	2003**	2004**	2005**	2006**	2007**	2008**	2009**	2010**	2011***	2012***
Union Station	B03	9	7038	9248	11386	12540	10464	10836	12227	11761	13720	15433	16116	20314	21946	22595	22271	25840	25911	25238	23874	23965	25037	26343	27330	29738	30278	31681	32653	31864	32596	32935	34383	34465	32745	33697	33250
Van Dorn Street	J02	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2715	2990	3234	3190	3305	3310	2880	3065	3285	3539	3481	3474	3683	3679	3835	3825	3828	3689	3792	3653	3587
Van Ness-UDC	A06	8	0	0	0	0	0	7657	7682	6650	7759	6831	7746	7926	8747	6793	6036	7338	6422	6701	6436	6670	6264	6433	6458	6770	6841	6858	6923	7094	7462	7730	7648	7276	7155	7559	6699
Vienna	K08	3	0	0	0	0	0	0	0	0	0	6165	7243	7637	8353	9883	10964	9211	9097	9386	9392	9536	10093	9940	10238	11607	12120	12567	12854	12832	13177	13143	13642	13759	13967	13682	13773
Virginia Square-GMU	K03	7	0	0	0	1728	2259	2212	2350	2757	2796	2341	2403	2454	2312	2669	2862	2432	2396	2348	2287	2169	2301	2205	2334	2607	2623	3007	3135	3289	3608	3886	4016	4067	4103	3953	3733
Waterfront	K06	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3320	3723	3947	4112	3878	4054	4157	4563	4466	4628	4040	3284	3275	3146	3163	3201	3175	3067	3974	4236	4536
West Falls Church	F04	5	0	0	0	0	0	0	0	0	0	4140	4535	5229	5568	5597	5260	5297	5425	5299	5217	5640	6078	6231	6973	7279	7894	8561	8584	9649	10124	10290	10748	10499	10836	10740	10891
West Hyattsville	E07	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1585	1876	1901	1972	2140	2222	2793	3150	3317	3242	3434	3415	3656	3839	3925	3694	3809	3855	3951
Wheaton	B10	3	0	0	0	0	0	0	0	0	0	0	0	0	0	5251	5584	5601	5586	5508	5337	5291	5574	3384	4001	4388	4576	4746	4498	4468	4887	4874	4754	4653	4543	4472	4374
White Flint	A12	4	0	0	0	0	0	0	0	2199	3077	3775	4109	4074	4333	3955	3903	3546	3661	3605	3613	3719	3662	3752	4050	4287	4446	4223	4172	3682	3714	4010	4097	4096	4210	4266	4151
Woodley Park-Zoo	A04	8	0	0	0	0	0	4456	4235	6461	6800	6313	6275	6296	6352	6704	7077	6890	7309	6609	6391	6617	6618	6355	6643	7353	7419	6750	7492	7566	8077	8471	8726	8292	7607	7864	7915
Total		0	102553	138129	196668	235673	233516	226405	235739	290765	311628	338537	354136	373869	381848	407073	513518	513155	517256	517622	499427	503794	527986	538498	576945	627630	631817	645431	667741	687299	714953	726013	751855	747557	750603	743961	744918
